sample	chrom	loc.start	loc.end	num.mark	seg.mean	copy	ivg.copy
M003	16	150000	90050000	713	-0.0956	2	0
M003	17	150000	21450000	202	-0.889	1	-1
M003	17	21550000	83150000	544	-0.0183	2	0
M003	18	250000	80250000	720	-0.028904583	2	0
M003	19	350000	15550000	148	-0.4635	2	0
M003	19	15650000	16050000	5	0.7038	3	1
M003	19	16150000	19650000	36	-0.4203	2	0
M003	19	19750000	22450000	19	1.3469	4	2
M003	19	22550000	58550000	298	0.0095	2	0
M003	20	150000	28750000	255	-0.0762	2	0
M003	20	29250000	30950000	14	0.6367	3	1
M003	20	31350000	64150000	324	-0.075170062	2	0
M003	21	7950000	46550000	319	-0.020835423	2	0
M003	22	10750000	25450000	78	0.1634	2	0
M003	22	25550000	39550000	140	-1.0001	1	-1
M003	22	39650000	41350000	18	-0.1242	2	0
M003	22	41450000	44250000	29	-0.7555	1	-1
M003	22	44350000	50750000	62	0.1613	2	0
M003	23	250000	2850000	24	-0.1823	2	0
M003	23	2950000	155950000	1396	-1.081049355	1	-1
M003	24	2850000	14150000	57	-2.1705	1	-1
M003	24	14250000	26550000	61	-4.2012	0	-2
M005	1	950000	215550000	1818	0.038235809	2	0
M005	1	215650000	216450000	9	1.1917	4	2
M005	1	216550000	248450000	304	0.1399	2	0
M005	1	248550000	248850000	4	-1.0191	1	-1
M005	2	150000	140150000	1269	0.0268	2	0
M005	2	140250000	141250000	11	1.058	4	2
M005	2	141350000	151350000	98	-0.086	2	0
M005	2	151450000	151750000	4	1.9128	4	2
M005	2	151850000	169050000	166	0.0207	2	0
M005	2	169150000	169650000	5	1.2611	4	2
M005	2	169750000	229850000	586	0.005550853	2	0
M005	2	229950000	230550000	7	0.93	4	2
M005	2	230650000	242050000	110	0.1091	2	0
M005	3	50000	198050000	1903	-0.014388019	2	0
M005	4	150000	77850000	719	0.016	2	0
M005	4	77950000	78550000	6	1.3507	4	2
M005	4	78650000	84550000	59	-0.0126	2	0
M005	4	84650000	84950000	4	1.6848	4	2
M005	4	85050000	189950000	1029	-0.011	2	0
M005	5	150000	181250000	1704	-0.0365	2	0
M005	6	250000	24950000	241	0.0738	2	0
M005	6	25050000	32450000	67	0.3885	3	1
M005	6	32550000	56350000	229	0.0232	2	0
M005	6	56450000	56750000	4	2.0521	4	2
M005	6	56850000	170550000	1081	-0.0314	2	0
M005	7	50000	64150000	570	-0.0384	2	0
M005	7	64750000	65350000	6	1.5564	4	2
M005	7	65750000	159250000	893	0.027	2	0
M005	8	350000	145050000	1360	-0.0037	2	0
M005	9	250000	138050000	1053	-0.0327	2	0
M005	10	50000	16750000	164	-0.0548	2	0
M005	10	16850000	17150000	4	1.4099	4	2
M005	10	17250000	133650000	1079	-0.0132	2	0
M005	11	250000	134950000	1260	-0.060180317	2	0
M005	12	150000	133150000	1255	-0.029127729	2	0
M005	13	18250000	114150000	929	-0.0198	2	0
M005	14	19750000	106050000	842	-0.0486	2	0
M005	14	106150000	106850000	8	1.281	4	2
M005	15	17050000	101850000	762	-0.0111	2	0
M005	16	150000	90050000	713	-0.0356	2	0
M005	17	150000	83150000	746	-0.0169	2	0
M005	18	250000	80250000	720	-0.0298	2	0
M005	19	350000	15050000	143	0.0262	2	0
M005	19	15150000	16150000	11	0.5721	3	1
M005	19	16250000	19650000	35	-0.0048	2	0
M005	19	19750000	22450000	19	1.6562	4	2
M005	19	22550000	58550000	298	0.0012	2	0
M005	20	150000	26150000	254	-0.0328	2	0
M005	20	28750000	30950000	15	0.7315	3	1
M005	20	31350000	64150000	324	-0.0351	2	0
M005	21	7950000	46550000	319	-0.0492	2	0
M005	22	10750000	21950000	46	-0.1397	2	0
M005	22	22050000	22950000	8	1.0284	4	2
M005	22	23050000	50750000	273	-0.0144	2	0
M005	23	250000	2750000	23	0.2385	2	0
M005	23	2850000	155950000	1397	-1.139794775	1	-1
M005	24	2850000	26550000	118	-1.3347	1	-1
M006	1	950000	25950000	239	0.0721	2	0
M006	1	26050000	28750000	27	-0.5696	1	-1
M006	1	28850000	46650000	170	0.1772	2	0
M006	1	46750000	124950000	717	-0.6659	1	-1
M006	1	125050000	248850000	982	0.1144	2	0
M006	2	150000	242050000	2256	0.0722	2	0
M006	3	50000	4750000	48	-0.7486	1	-1
M006	3	4850000	134350000	1235	0.049020243	2	0
M006	3	134450000	198050000	620	0.4054	3	1
M006	4	150000	189950000	1817	0.0561	2	0
M006	5	150000	181250000	1704	0.025	2	0
M006	6	250000	45850000	436	0.0902	2	0
M006	6	45950000	50850000	49	-0.6681	1	-1
M006	6	50950000	53350000	23	0.2064	2	0
M006	6	53450000	60750000	50	-0.7053	1	-1
M006	6	60850000	63750000	26	0.0448	2	0
M006	6	63850000	170550000	1038	-0.6658	1	-1
M006	7	50000	143350000	1316	0.038639818	2	0
M006	7	143550000	144350000	6	-0.9223	1	-1
M006	7	144450000	159250000	147	-0.057563265	2	0
M006	8	350000	57850000	509	-0.6745	1	-1
M006	8	57950000	58750000	9	0.1471	2	0
M006	8	58850000	78650000	194	-0.6863	1	-1
M006	8	78750000	85550000	68	0.1742	2	0
M006	8	85850000	87950000	22	-0.6605	1	-1
M006	8	88050000	145050000	558	0.5567	3	1
M006	9	250000	138050000	1053	0.0049	2	0
M006	10	50000	133650000	1247	0.052382759	2	0
M006	11	250000	87250000	792	-0.0166	2	0
M006	11	87350000	113150000	251	-0.7764	1	-1
M006	11	113250000	134950000	217	-0.0172	2	0
M006	12	150000	133150000	1255	0.0264	2	0
M006	13	18250000	114150000	929	-0.0065	2	0
M006	14	19750000	106850000	850	0.0171	2	0
M006	15	17050000	43050000	189	-0.6873	1	-1
M006	15	43150000	96650000	522	-0.0076	2	0
M006	15	96750000	98450000	18	-0.8831	1	-1
M006	15	98550000	101850000	33	-0.0782	2	0
M006	16	150000	90050000	713	-0.02642777	2	0
M006	17	150000	20050000	190	-0.7043	1	-1
M006	17	20150000	83150000	556	0.0145	2	0
M006	18	250000	12550000	123	-0.7743	1	-1
M006	18	12650000	57850000	378	-0.0089	2	0
M006	18	57950000	80250000	219	0.4834	3	1
M006	19	350000	15550000	148	0.0842	2	0
M006	19	15650000	15950000	4	0.9221	4	2
M006	19	16050000	19650000	37	0.0455	2	0
M006	19	19750000	22450000	19	1.3848	4	2
M006	19	22550000	58550000	298	0.0599	2	0
M006	20	150000	24650000	241	-0.0194	2	0
M006	20	24750000	25850000	12	-0.747	1	-1
M006	20	26150000	30950000	16	0.4511	3	1
M006	20	31350000	64150000	324	-0.037	2	0
M006	21	7950000	46550000	319	-0.0351	2	0
M006	22	10750000	21950000	46	-0.121876087	2	0
M006	22	22050000	22950000	8	0.5947	3	1
M006	22	23050000	50750000	273	-0.0254	2	0
M006	23	250000	2650000	22	0.418	3	1
M006	23	2750000	155950000	1398	-1.036874464	1	-1
M006	24	2850000	26550000	118	-1.1756	1	-1
M007	1	950000	61550000	584	0.0582	2	0
M007	1	61650000	119750000	564	-0.711825887	1	-1
M007	1	119850000	248850000	987	0.0754	2	0
M007	2	150000	242050000	2256	0.0426	2	0
M007	3	50000	198050000	1903	0.0207	2	0
M007	4	150000	84650000	785	0.0378	2	0
M007	4	84750000	85450000	8	0.9297	4	2
M007	4	85550000	189950000	1024	0.022	2	0
M007	5	150000	181250000	1704	-0.0136	2	0
M007	6	250000	170550000	1622	0.0319	2	0
M007	7	50000	159250000	1469	0.027964125	2	0
M007	8	350000	145050000	1360	0.0044	2	0
M007	9	250000	138050000	1053	-0.021020418	2	0
M007	10	50000	133650000	1247	-0.0361	2	0
M007	11	250000	134950000	1260	-0.036899683	2	0
M007	12	150000	133150000	1255	-0.019	2	0
M007	13	18250000	114150000	929	-0.0325	2	0
M007	14	19750000	105950000	841	-0.0366	2	0
M007	14	106050000	106850000	9	0.9214	4	2
M007	15	17050000	20650000	4	1.187	4	2
M007	15	22250000	101850000	758	-0.0425	2	0
M007	16	150000	90050000	713	-0.0671	2	0
M007	17	150000	83150000	746	-0.0384	2	0
M007	18	250000	80250000	720	-0.0599	2	0
M007	19	350000	15450000	147	0.0195	2	0
M007	19	15550000	16050000	6	0.7928	3	1
M007	19	16150000	19650000	36	-0.0702	2	0
M007	19	19750000	22450000	19	1.3278	4	2
M007	19	22550000	58550000	298	0.036861074	2	0
M007	20	150000	29650000	260	-0.0462	2	0
M007	20	29750000	30950000	9	0.713	3	1
M007	20	31350000	64150000	324	-0.0222	2	0
M007	21	7950000	9650000	4	-0.8999	1	-1
M007	21	9750000	10550000	4	1.2057	4	2
M007	21	13250000	46550000	311	-0.0731	2	0
M007	22	10750000	50750000	327	-0.05049633	2	0
M007	23	250000	2750000	23	0.3098	2	0
M007	23	2850000	155950000	1397	-1.075657623	1	-1
M007	24	2850000	26550000	118	-1.1916	1	-1
M008	1	950000	125150000	1155	0.0548	2	0
M008	1	143550000	145650000	4	-1.214	1	-1
M008	1	145750000	248850000	976	0.079643443	2	0
M008	2	150000	140250000	1270	0.0348	2	0
M008	2	140350000	141350000	11	0.6924	3	1
M008	2	141450000	168950000	266	0.009698496	2	0
M008	2	169050000	170050000	10	0.6715	3	1
M008	2	170250000	224250000	528	0.0165	2	0
M008	2	224350000	225150000	8	0.6424	3	1
M008	2	225250000	229750000	45	0.0127	2	0
M008	2	229850000	230550000	8	0.7014	3	1
M008	2	230650000	242050000	110	0.0282	2	0
M008	3	50000	198050000	1903	0.0088	2	0
M008	4	150000	189950000	1817	0.0168	2	0
M008	5	150000	181250000	1704	-0.0385	2	0
M008	6	250000	58050000	551	0.041280218	2	0
M008	6	58150000	61050000	10	-0.6899	1	-1
M008	6	61150000	170550000	1061	-0.0115	2	0
M008	7	50000	64150000	570	-0.0156	2	0
M008	7	64750000	65350000	6	1.2063	4	2
M008	7	65750000	159250000	893	0.0269	2	0
M008	8	350000	145050000	1360	-0.0097	2	0
M008	9	250000	138050000	1053	-0.0181	2	0
M008	10	50000	133650000	1247	-0.0413	2	0
M008	11	250000	48450000	472	-0.0402	2	0
M008	11	48550000	49750000	9	-0.7883	1	-1
M008	11	49850000	134950000	779	-0.10260475	2	0
M008	12	150000	133150000	1255	-0.0373	2	0
M008	13	18250000	114150000	929	-0.0273	2	0
M008	14	19750000	106050000	842	-0.067631354	2	0
M008	14	106150000	106850000	8	0.6989	3	1
M008	15	17050000	101850000	762	-0.0621	2	0
M008	16	150000	90050000	713	-0.0531	2	0
M008	17	150000	83150000	746	-0.026475871	2	0
M008	18	250000	80250000	720	-0.0671	2	0
M008	19	350000	15450000	147	0.0393	2	0
M008	19	15550000	15950000	5	0.7889	3	1
M008	19	16050000	19650000	37	0.0052	2	0
M008	19	19750000	22450000	19	1.2142	4	2
M008	19	22550000	58550000	298	0.0061	2	0
M008	20	150000	25850000	253	-0.1221	2	0
M008	20	26150000	30950000	16	0.9166	4	2
M008	20	31350000	64150000	324	-0.0294	2	0
M008	21	7950000	46550000	319	-0.0378	2	0
M008	22	10750000	21950000	46	-0.225023913	2	0
M008	22	22050000	22850000	7	0.6575	3	1
M008	22	22950000	50750000	274	-0.063	2	0
M008	23	250000	2350000	19	0.4408	3	1
M008	23	2450000	2750000	4	0.0542	2	0
M008	23	2850000	155950000	1397	-1.094734574	1	-1
M008	24	2850000	26550000	118	-1.213	1	-1
M010	1	950000	88450000	847	0.0174	2	0
M010	1	88550000	108650000	193	-0.8457	1	-1
M010	1	108750000	113650000	47	0.593	3	1
M010	1	113750000	114550000	9	0.089	2	0
M010	1	114650000	117150000	26	-0.7862	1	-1
M010	1	117250000	248850000	1013	0.0735	2	0
M010	2	150000	242050000	2256	0.0437	2	0
M010	3	50000	89750000	879	-7.00E-04	2	0
M010	3	89850000	91550000	9	-0.5445	1	-1
M010	3	93950000	165350000	696	0.0361	2	0
M010	3	165450000	166350000	10	-1.0591	1	-1
M010	3	166450000	173150000	68	1.274375	4	2
M010	3	173350000	198050000	241	0.0354	2	0
M010	4	150000	149350000	1420	0.0234	2	0
M010	4	149550000	151650000	21	0.6602	3	1
M010	4	151750000	152350000	7	0.1008	2	0
M010	4	152450000	168750000	158	0.5796	3	1
M010	4	168850000	172250000	35	1.2196	4	2
M010	4	172350000	182650000	104	-0.061	2	0
M010	4	182750000	189950000	72	0.6052	3	1
M010	5	150000	125950000	1168	0.0057	2	0
M010	5	126050000	126450000	5	-0.9144	1	-1
M010	5	126550000	181250000	531	0.0114	2	0
M010	6	250000	45450000	432	0.625216667	3	1
M010	6	45550000	57950000	118	0.0581	2	0
M010	6	58050000	61150000	12	-0.6069	1	-1
M010	6	61650000	156150000	918	0.0345	2	0
M010	6	156250000	167350000	111	-0.7984	1	-1
M010	6	167450000	169750000	23	-3.7932	0	-2
M010	6	169850000	170550000	8	-0.7671	1	-1
M010	7	50000	36850000	363	0.5474	3	1
M010	7	36950000	159250000	1106	0.026745479	2	0
M010	8	350000	26650000	240	-0.9089	1	-1
M010	8	26750000	30950000	42	-0.0034	2	0
M010	8	31050000	35950000	49	-0.9296	1	-1
M010	8	36050000	145050000	1029	0.0076	2	0
M010	9	250000	65450000	377	-0.1149	2	0
M010	9	68450000	108750000	393	-0.9388	1	-1
M010	9	108850000	138050000	283	-0.0099	2	0
M010	10	50000	133650000	1247	-0.0098749	2	0
M010	11	250000	108350000	996	-0.0155	2	0
M010	11	108450000	117650000	92	-0.9409	1	-1
M010	11	117750000	123050000	54	0.0122	2	0
M010	11	123150000	126450000	34	-0.98	1	-1
M010	11	126550000	134950000	84	-0.0532	2	0
M010	12	150000	133150000	1255	0.0079	2	0
M010	13	18250000	114150000	929	-0.8982	1	-1
M010	14	19750000	106850000	850	7.00E-04	2	0
M010	15	17050000	101850000	762	-0.0013	2	0
M010	16	150000	90050000	713	-0.057719916	2	0
M010	17	150000	21550000	203	3.00E-04	2	0
M010	17	21650000	26850000	10	0.6451	3	1
M010	17	27050000	83150000	533	0.0063	2	0
M010	18	250000	80250000	720	-0.0068	2	0
M010	19	350000	15550000	148	0.0069	2	0
M010	19	15650000	16050000	5	0.6838	3	1
M010	19	16150000	19650000	36	-0.0861	2	0
M010	19	19750000	22450000	19	1.3017	4	2
M010	19	22550000	58550000	298	0.0258	2	0
M010	20	150000	28750000	255	-0.0403	2	0
M010	20	29250000	30950000	14	0.6649	3	1
M010	20	31350000	64150000	324	-0.0417	2	0
M010	21	7950000	46550000	319	0.0294	2	0
M010	22	10750000	16050000	4	-0.6371	1	-1
M010	22	16150000	21950000	42	-0.0738	2	0
M010	22	22050000	22950000	8	0.5542	3	1
M010	22	23050000	27650000	45	-0.046	2	0
M010	22	27750000	50750000	228	-0.9379	1	-1
M010	23	250000	2650000	22	0.4212	3	1
M010	23	2750000	51950000	470	-0.0771	2	0
M010	23	52050000	52950000	9	-0.838	1	-1
M010	23	53050000	86750000	281	-0.0168	2	0
M010	23	86850000	90650000	26	-0.9252	1	-1
M010	23	90850000	93350000	13	-0.1927	2	0
M010	23	93450000	96450000	29	-0.9003	1	-1
M010	23	96550000	113150000	161	-0.0458	2	0
M010	23	113250000	116650000	30	1.1408	4	2
M010	23	116750000	155950000	379	-1.0256	1	-1
M010	24	2850000	26550000	118	-4.8365	0	-2
M013	1	950000	248850000	2135	0.0173	2	0
M013	2	150000	242050000	2256	0.0167	2	0
M013	3	50000	198050000	1903	-0.0202	2	0
M013	4	150000	189950000	1817	8.00E-04	2	0
M013	5	150000	181250000	1704	-0.02	2	0
M013	6	250000	57250000	546	0.056187912	2	0
M013	6	57450000	61050000	15	-0.7125	1	-1
M013	6	61150000	170550000	1061	7.00E-04	2	0
M013	7	50000	63950000	569	-0.001156239	2	0
M013	7	64150000	65350000	7	1.087	4	2
M013	7	65750000	159250000	893	-0.004054311	2	0
M013	8	350000	145050000	1360	-0.014342206	2	0
M013	9	250000	79050000	480	-0.0248	2	0
M013	9	79150000	85450000	63	-0.711	1	-1
M013	9	85550000	95350000	97	-0.4535	2	0
M013	9	95450000	109850000	141	-0.662	1	-1
M013	9	109950000	138050000	272	-0.014625	2	0
M013	10	50000	133650000	1247	-0.0302	2	0
M013	11	250000	27550000	267	-0.0473	2	0
M013	11	27650000	28550000	10	-0.6082	1	-1
M013	11	28650000	134950000	983	-0.048766226	2	0
M013	12	150000	133150000	1255	-0.0094	2	0
M013	13	18250000	114150000	929	-0.0043	2	0
M013	14	19750000	20050000	4	0.8407	3	1
M013	14	20150000	106050000	838	-0.0352	2	0
M013	14	106150000	106850000	8	0.5939	3	1
M013	15	17050000	20650000	4	0.8676	4	2
M013	15	22250000	24050000	14	-0.0587	2	0
M013	15	24150000	24550000	5	-0.9204	1	-1
M013	15	24650000	101850000	739	-0.02	2	0
M013	16	150000	90050000	713	-0.0566	2	0
M013	17	150000	21550000	203	0.0096	2	0
M013	17	21650000	21950000	4	1.1158	4	2
M013	17	22150000	83150000	539	0.0198	2	0
M013	18	250000	80250000	720	-0.0382	2	0
M013	19	350000	15450000	147	0.0032	2	0
M013	19	15550000	16050000	6	0.8174	3	1
M013	19	16150000	17950000	19	-0.0951	2	0
M013	19	18050000	18550000	6	-0.7521	1	-1
M013	19	18650000	19650000	11	-0.2718	2	0
M013	19	19750000	22450000	19	1.3255	4	2
M013	19	22550000	58550000	298	0.0667	2	0
M013	20	150000	29250000	256	-0.0565	2	0
M013	20	29350000	30950000	13	0.677	3	1
M013	20	31350000	64150000	324	-0.040130864	2	0
M013	21	7950000	10550000	8	0.5721	3	1
M013	21	13250000	46550000	311	-0.034624437	2	0
M013	22	10750000	50750000	327	-0.0263	2	0
M013	23	250000	2750000	23	0.3699	2	0
M013	23	2850000	155950000	1397	-1.105239728	1	-1
M013	24	2850000	26550000	118	-1.3018	1	-1
M015	1	950000	69850000	665	0.0577	2	0
M015	1	69950000	114150000	427	-0.6492	1	-1
M015	1	114250000	115050000	9	0.3607	2	0
M015	1	115150000	117350000	23	-0.6139	1	-1
M015	1	117450000	248850000	1011	0.127	2	0
M015	2	150000	242050000	2256	0.1149	2	0
M015	3	50000	198050000	1903	0.0614	2	0
M015	4	150000	9050000	85	0.6599	3	1
M015	4	9150000	189950000	1732	0.0717	2	0
M015	5	150000	140650000	1314	0.0485	2	0
M015	5	140750000	141150000	5	1.0066	4	2
M015	5	141250000	181250000	385	-0.0222	2	0
M015	6	250000	550000	4	0.544	3	1
M015	6	650000	167350000	1587	0.059514493	2	0
M015	6	167450000	170550000	31	0.4704	3	1
M015	7	50000	159250000	1469	0.027170456	2	0
M015	8	350000	109150000	1008	0.0394	2	0
M015	8	109250000	112750000	36	0.3926	3	1
M015	8	112850000	145050000	316	-0.074237975	2	0
M015	9	250000	65450000	377	-0.028647745	2	0
M015	9	68450000	103150000	340	-0.7405	1	-1
M015	9	103350000	138050000	336	-0.040972917	2	0
M015	10	50000	9750000	94	-0.128080851	2	0
M015	10	9850000	26350000	164	-0.6622	1	-1
M015	10	26450000	35350000	87	-0.0374	2	0
M015	10	35450000	39550000	34	-0.8787	1	-1
M015	10	42450000	133650000	868	0.0053	2	0
M015	11	250000	134950000	1260	-0.0516	2	0
M015	12	150000	8350000	82	0.0263	2	0
M015	12	8450000	13750000	53	-0.7045	1	-1
M015	12	13850000	133150000	1120	-0.0516	2	0
M015	13	18250000	44450000	252	0.039657143	2	0
M015	13	44550000	113550000	672	-0.774	1	-1
M015	13	113650000	114150000	5	-0.2008	2	0
M015	14	19750000	105950000	841	-0.051974911	2	0
M015	14	106050000	106850000	9	0.5221	3	1
M015	15	17050000	101850000	762	-0.0452	2	0
M015	16	150000	90050000	713	-0.102	2	0
M015	17	150000	21450000	202	-0.0021	2	0
M015	17	21550000	21950000	5	0.8924	4	2
M015	17	22150000	83150000	539	-0.0305	2	0
M015	18	250000	15050000	143	-0.745	1	-1
M015	18	21050000	80250000	577	-0.086189775	2	0
M015	19	350000	19650000	189	-0.0652	2	0
M015	19	19750000	22450000	19	1.2701	4	2
M015	19	22550000	58550000	298	-0.0403	2	0
M015	20	150000	28750000	255	-0.1092	2	0
M015	20	29250000	30950000	14	0.8641	4	2
M015	20	31350000	64150000	324	-0.067694136	2	0
M015	21	7950000	46550000	319	-0.0633	2	0
M015	22	10750000	50750000	327	-0.0386	2	0
M015	23	250000	2750000	23	0.2991	2	0
M015	23	2850000	155950000	1397	-1.161419757	1	-1
M015	24	2850000	26550000	118	-1.3528	1	-1
M018	1	950000	248350000	2130	-0.038519343	2	0
M018	1	248450000	248850000	5	-0.6249	1	-1
M018	2	150000	31750000	312	0.0061	2	0
M018	2	31850000	32750000	7	0.8506	4	2
M018	2	32950000	107650000	657	0.02	2	0
M018	2	107750000	110650000	23	-0.5202	1	-1
M018	2	110750000	242050000	1257	0.0315	2	0
M018	3	50000	198050000	1903	0.0229	2	0
M018	4	150000	189950000	1817	0.099134783	2	0
M018	5	150000	21850000	211	0.1792	2	0
M018	5	21950000	22350000	5	-0.7241	1	-1
M018	5	22450000	181250000	1488	-0.022096573	2	0
M018	6	250000	170550000	1622	0.032147965	2	0
M018	7	50000	159250000	1469	0.014039074	2	0
M018	8	350000	145050000	1360	1.00E-04	2	0
M018	9	250000	138050000	1053	-0.026	2	0
M018	10	50000	133650000	1247	-0.084463432	2	0
M018	11	250000	134950000	1260	-0.060245159	2	0
M018	12	150000	133150000	1255	-0.0096	2	0
M018	13	18250000	114150000	929	-0.275706997	2	0
M018	14	19750000	106050000	842	-0.015	2	0
M018	14	106150000	106850000	8	0.9431	4	2
M018	15	17050000	22250000	5	1.0825	4	2
M018	15	22750000	101850000	757	-0.0643	2	0
M018	16	150000	90050000	713	-0.0776	2	0
M018	17	150000	83150000	746	-0.0296	2	0
M018	18	250000	80250000	720	-0.0297	2	0
M018	19	350000	19650000	189	0.0203	2	0
M018	19	19750000	22450000	19	1.4054	4	2
M018	19	22550000	58550000	298	0.003	2	0
M018	20	150000	28750000	255	-0.0977	2	0
M018	20	29250000	30950000	14	0.6923	3	1
M018	20	31350000	64150000	324	-0.0461	2	0
M018	21	7950000	46550000	319	-0.0702	2	0
M018	22	10750000	21950000	46	-0.235	2	0
M018	22	22050000	22950000	8	0.8916	4	2
M018	22	23050000	50750000	273	-0.0982	2	0
M018	23	250000	2750000	23	0.1649	2	0
M018	23	2850000	155950000	1397	-1.083772656	1	-1
M018	24	2850000	26550000	118	-1.5072	1	-1
M019	1	950000	92150000	883	0.0253	2	0
M019	1	92250000	97550000	53	-0.7771	1	-1
M019	1	97650000	111950000	134	0.0213	2	0
M019	1	112050000	165850000	263	-0.7623	1	-1
M019	1	165950000	248850000	802	0.1264	2	0
M019	2	150000	140150000	1269	0.0614	2	0
M019	2	140250000	141050000	9	1.0011	4	2
M019	2	141150000	224650000	811	0.027389149	2	0
M019	2	224750000	225150000	4	1.0113	4	2
M019	2	225250000	229650000	44	-0.0706	2	0
M019	2	229750000	230550000	9	0.8303	3	1
M019	2	230650000	242050000	110	0.0958	2	0
M019	3	50000	198050000	1903	0.037	2	0
M019	4	150000	189950000	1817	0.0569	2	0
M019	5	150000	40750000	394	0.521	3	1
M019	5	40850000	180050000	1299	-0.0316	2	0
M019	5	180250000	181250000	11	0.397	3	1
M019	6	250000	28550000	272	0.073	2	0
M019	6	28650000	33450000	46	0.5216	3	1
M019	6	33550000	170550000	1304	0.0299	2	0
M019	7	50000	159250000	1469	0.027825255	2	0
M019	8	350000	145050000	1360	0.096200882	2	0
M019	9	250000	138050000	1053	-0.028302184	2	0
