Sample	Chromosome	Start Position	End Position	Num markers	seg.mean	copy	ivg.copy	Seg.CN
1_16.vs.Tonsil1_Group7_23	11	250000	95150000	866	0.0275	2	0	0
1_16.vs.Tonsil1_Group7_23	20	150000	64150000	593	0.018452445	2	0	0
1_16.vs.Tonsil1_Group7_23	6	250000	155350000	1472	0.010070245	2	0	0
1_16.vs.Tonsil1_Group7_23	9	250000	138050000	1053	0.0144	2	0	0
1_16.vs.Tonsil1_Group7_23	10	50000	38950000	373	-0.0071	2	0	0
1_16.vs.Tonsil1_Group7_23	11	95250000	117150000	217	-0.797981106	1	-1	-1
1_16.vs.Tonsil1_Group7_23	1	950000	248850000	2135	0.011159953	2	0	0
1_16.vs.Tonsil1_Group7_23	14	62450000	96850000	338	-0.5491	1	-1	-1
1_16.vs.Tonsil1_Group7_23	6	155450000	157050000	17	-0.7952	1	-1	-1
1_16.vs.Tonsil1_Group7_23	7	58050000	61850000	4	0.6648	3	1	0.584962501
1_16.vs.Tonsil1_Group7_23	10	39050000	39550000	6	0.9288	4	2	1
1_16.vs.Tonsil1_Group7_23	15	55350000	55750000	5	-0.4642	1	-1	-1
1_16.vs.Tonsil1_Group7_23	16	33650000	34750000	4	0.6634	3	1	0.584962501
1_16.vs.Tonsil1_Group7_23	22	10750000	16050000	4	0.3062	3	1	0.584962501
1_16.vs.Tonsil1_Group7_23	23	250000	155950000	1420	0.042736761	2	0	0
1_16.vs.Tonsil1_Group7_23	24	2850000	26550000	118	0.0704	2	0	0
1_24.vs.Tonsil1_Group7_23	14	105950000	106850000	10	-0.5865	1	-1	-1
1_24.vs.Tonsil1_Group7_23	7	158650000	159250000	7	0.088	2	0	0
1_24.vs.Tonsil1_Group7_23	14	21850000	22450000	7	0.7786	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	15	17050000	22250000	5	-0.4849	1	-1	-1
1_24.vs.Tonsil1_Group7_23	3	162850000	163350000	6	0.4584	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	7	153350000	155550000	23	-0.7226	1	-1	-1
1_24.vs.Tonsil1_Group7_23	16	150000	31950000	283	-0.0454	2	0	0
1_24.vs.Tonsil1_Group7_23	14	19750000	21650000	20	0.0616	2	0	0
1_24.vs.Tonsil1_Group7_23	7	157450000	158450000	10	0.2753	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	22	10750000	50750000	327	-0.0078	2	0	0
1_24.vs.Tonsil1_Group7_23	6	136350000	136850000	5	-0.9088	1	-1	-1
1_24.vs.Tonsil1_Group7_23	15	22750000	55250000	303	-0.0024	2	0	0
1_24.vs.Tonsil1_Group7_23	3	163450000	198050000	338	0.0282	2	0	0
1_24.vs.Tonsil1_Group7_23	7	125850000	130050000	42	-0.7878	1	-1	-1
1_24.vs.Tonsil1_Group7_23	17	150000	83150000	746	-0.029034987	2	0	0
1_24.vs.Tonsil1_Group7_23	10	42450000	62350000	178	0.049531461	2	0	0
1_24.vs.Tonsil1_Group7_23	7	63050000	116750000	493	-0.003137323	2	0	0
1_24.vs.Tonsil1_Group7_23	6	123850000	124750000	9	-0.7118	1	-1	-1
1_24.vs.Tonsil1_Group7_23	7	50000	57650000	560	0.042165	2	0	0
1_24.vs.Tonsil1_Group7_23	3	50000	59150000	578	0.060314706	2	0	0
1_24.vs.Tonsil1_Group7_23	6	136950000	170550000	330	0.0613	2	0	0
1_24.vs.Tonsil1_Group7_23	19	350000	58550000	506	-0.0638	2	0	0
1_24.vs.Tonsil1_Group7_23	16	46550000	90050000	423	-0.016427187	2	0	0
1_24.vs.Tonsil1_Group7_23	5	150000	82250000	738	0.042408537	2	0	0
1_24.vs.Tonsil1_Group7_23	13	108250000	114150000	55	-0.1821	2	0	0
1_24.vs.Tonsil1_Group7_23	20	52850000	53250000	5	0.3453	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	18	250000	80250000	720	0.054291944	2	0	0
1_24.vs.Tonsil1_Group7_23	7	130150000	153250000	222	0.0115	2	0	0
1_24.vs.Tonsil1_Group7_23	20	53350000	64150000	105	0.0433	2	0	0
1_24.vs.Tonsil1_Group7_23	5	82350000	111650000	289	-0.7429	1	-1	-1
1_24.vs.Tonsil1_Group7_23	8	350000	145050000	1360	0.0393	2	0	0
1_24.vs.Tonsil1_Group7_23	2	150000	242050000	2256	0.041118395	2	0	0
1_24.vs.Tonsil1_Group7_23	13	18250000	108150000	874	-0.3366	1	-1	-1
1_24.vs.Tonsil1_Group7_23	6	250000	96550000	903	0.050361462	2	0	0
1_24.vs.Tonsil1_Group7_23	6	114950000	123750000	86	0.0618	2	0	0
1_24.vs.Tonsil1_Group7_23	21	7950000	46550000	319	-0.011631034	2	0	0
1_24.vs.Tonsil1_Group7_23	4	150000	189950000	1817	0.03236131	2	0	0
1_24.vs.Tonsil1_Group7_23	15	55750000	101850000	450	-0.004124889	2	0	0
1_24.vs.Tonsil1_Group7_23	12	150000	133150000	1255	0.010928367	2	0	0
1_24.vs.Tonsil1_Group7_23	11	250000	94050000	856	0.0395	2	0	0
1_24.vs.Tonsil1_Group7_23	20	150000	52750000	483	0.037284679	2	0	0
1_24.vs.Tonsil1_Group7_23	10	62950000	133650000	685	0.022467591	2	0	0
1_24.vs.Tonsil1_Group7_23	6	99750000	104850000	51	-0.7914	1	-1	-1
1_24.vs.Tonsil1_Group7_23	3	59750000	162750000	976	0.049940574	2	0	0
1_24.vs.Tonsil1_Group7_23	11	95750000	134950000	389	0.039575321	2	0	0
1_24.vs.Tonsil1_Group7_23	9	250000	138050000	1053	-0.0347	2	0	0
1_24.vs.Tonsil1_Group7_23	10	50000	38950000	373	-0.015862735	2	0	0
1_24.vs.Tonsil1_Group7_23	7	116850000	120650000	39	-0.8111	1	-1	-1
1_24.vs.Tonsil1_Group7_23	1	950000	121550000	1152	-0.013288542	2	0	0
1_24.vs.Tonsil1_Group7_23	1	169250000	248850000	771	0.013441894	2	0	0
1_24.vs.Tonsil1_Group7_23	14	22550000	105850000	813	0.0231	2	0	0
1_24.vs.Tonsil1_Group7_23	6	110650000	110950000	4	-0.8777	1	-1	-1
1_24.vs.Tonsil1_Group7_23	5	111750000	181250000	677	0.042535746	2	0	0
1_24.vs.Tonsil1_Group7_23	10	62450000	62850000	5	0.2755	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	1	147450000	152450000	33	0.0136	2	0	0
1_24.vs.Tonsil1_Group7_23	1	152550000	169150000	164	-0.771404878	1	-1	-1
1_24.vs.Tonsil1_Group7_23	7	155650000	157350000	18	0.0108	2	0	0
1_24.vs.Tonsil1_Group7_23	7	120750000	125750000	51	-0.0081	2	0	0
1_24.vs.Tonsil1_Group7_23	6	96650000	97350000	8	-0.7706	1	-1	-1
1_24.vs.Tonsil1_Group7_23	6	114250000	114850000	7	-0.7081	1	-1	-1
1_24.vs.Tonsil1_Group7_23	6	109650000	110550000	10	0.0444	2	0	0
1_24.vs.Tonsil1_Group7_23	6	130050000	136250000	61	0.0415	2	0	0
1_24.vs.Tonsil1_Group7_23	6	97450000	99650000	21	0.0889	2	0	0
1_24.vs.Tonsil1_Group7_23	11	94150000	95650000	15	0.292	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	6	111050000	114050000	30	-0.0238	2	0	0
1_24.vs.Tonsil1_Group7_23	3	59250000	59650000	5	0.4059	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	6	124850000	127950000	32	-0.1857	2	0	0
1_24.vs.Tonsil1_Group7_23	6	128050000	129950000	20	-0.7676	1	-1	-1
1_24.vs.Tonsil1_Group7_23	6	104950000	106550000	15	0.0215	2	0	0
1_24.vs.Tonsil1_Group7_23	1	124950000	143550000	4	0.7281	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	1	143650000	146050000	7	-0.03	2	0	0
1_24.vs.Tonsil1_Group7_23	1	147050000	147350000	4	-0.7972	1	-1	-1
1_24.vs.Tonsil1_Group7_23	6	106650000	109550000	30	-0.6934	1	-1	-1
1_24.vs.Tonsil1_Group7_23	7	58050000	61850000	4	0.5481	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	10	39050000	39550000	6	0.7125	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	15	55350000	55650000	4	-0.6065	1	-1	-1
1_24.vs.Tonsil1_Group7_23	16	33650000	36150000	7	0.4699	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	23	250000	74850000	664	0.03436506	2	0	0
1_24.vs.Tonsil1_Group7_23	23	74950000	77450000	26	0.2907	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	23	77550000	78050000	6	-0.0919	2	0	0
1_24.vs.Tonsil1_Group7_23	23	78150000	79350000	13	0.3589	3	1	0.584962501
1_24.vs.Tonsil1_Group7_23	23	79450000	155950000	711	0.0601	2	0	0
1_24.vs.Tonsil1_Group7_23	24	2850000	26550000	118	0.0793	2	0	0
1_31.vs.Tonsil1_Group7_23	22	49550000	50750000	12	0.2173	2	0	0
1_31.vs.Tonsil1_Group7_23	1	1950000	2550000	7	0.076	2	0	0
1_31.vs.Tonsil1_Group7_23	14	21950000	22550000	7	0.9289	4	2	1
1_31.vs.Tonsil1_Group7_23	6	250000	750000	6	0.2849	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	14	106350000	106850000	6	0.3191	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	1	1350000	1750000	5	0.4493	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	1	950000	1250000	4	0.1276	2	0	0
1_31.vs.Tonsil1_Group7_23	3	50000	350000	4	0.3267	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	14	105950000	106250000	4	-0.7724	1	-1	-1
1_31.vs.Tonsil1_Group7_23	19	42650000	43350000	8	-0.5267	1	-1	-1
1_31.vs.Tonsil1_Group7_23	22	21550000	23150000	14	0.4127	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	1	2650000	3450000	9	-0.3294	1	-1	-1
1_31.vs.Tonsil1_Group7_23	16	150000	750000	7	0.2647	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	11	64750000	66150000	15	0.4532	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	15	99950000	101850000	19	-0.0524	2	0	0
1_31.vs.Tonsil1_Group7_23	8	1750000	7050000	52	-0.05965	2	0	0
1_31.vs.Tonsil1_Group7_23	15	17050000	23950000	17	-0.0274	2	0	0
1_31.vs.Tonsil1_Group7_23	16	28350000	31150000	23	0.3665	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	6	30150000	33650000	34	0.3062	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	8	350000	1650000	14	-0.3269	1	-1	-1
1_31.vs.Tonsil1_Group7_23	18	250000	2450000	23	0.0336	2	0	0
1_31.vs.Tonsil1_Group7_23	8	139050000	145050000	60	0.580136667	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	4	176250000	189950000	137	0.208667883	2	0	0
1_31.vs.Tonsil1_Group7_23	22	48250000	49350000	11	-0.3226	1	-1	-1
1_31.vs.Tonsil1_Group7_23	16	12350000	28250000	134	0.026649254	2	0	0
1_31.vs.Tonsil1_Group7_23	12	123850000	133150000	87	-0.132808046	2	0	0
1_31.vs.Tonsil1_Group7_23	9	250000	10450000	98	-0.2192	2	0	0
1_31.vs.Tonsil1_Group7_23	2	53750000	55350000	16	0.3176	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	14	19750000	21850000	21	0.2269	2	0	0
1_31.vs.Tonsil1_Group7_23	2	110250000	112750000	20	0.2907	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	10	91850000	92950000	12	0.333	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	128050000	133750000	47	-0.081993617	2	0	0
1_31.vs.Tonsil1_Group7_23	20	62050000	64150000	21	-0.0939	2	0	0
1_31.vs.Tonsil1_Group7_23	6	159250000	170550000	113	-0.089665487	2	0	0
1_31.vs.Tonsil1_Group7_23	8	8250000	9150000	10	0.4353	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	6	26650000	30050000	30	0.0123	2	0	0
1_31.vs.Tonsil1_Group7_23	22	10750000	21050000	42	0.083928571	2	0	0
1_31.vs.Tonsil1_Group7_23	3	450000	16250000	155	0.094187742	2	0	0
1_31.vs.Tonsil1_Group7_23	7	50000	18150000	179	0.079392737	2	0	0
1_31.vs.Tonsil1_Group7_23	3	188950000	198050000	90	0.701614444	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	11	128850000	134950000	61	-0.180806557	2	0	0
1_31.vs.Tonsil1_Group7_23	19	16050000	21750000	55	-0.094	2	0	0
1_31.vs.Tonsil1_Group7_23	18	2550000	3650000	12	0.3883	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	16	850000	10650000	96	-0.002940625	2	0	0
1_31.vs.Tonsil1_Group7_23	17	150000	21450000	202	-0.782876733	1	-1	-1
1_31.vs.Tonsil1_Group7_23	15	24050000	49550000	236	-0.854976271	1	-1	-1
1_31.vs.Tonsil1_Group7_23	12	53050000	53450000	5	0.3208	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	6	24450000	26550000	21	0.2714	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	13	18250000	30250000	112	-0.445225	1	-1	-1
1_31.vs.Tonsil1_Group7_23	10	50000	10950000	106	0.1479	2	0	0
1_31.vs.Tonsil1_Group7_23	17	21550000	38650000	118	0.114759322	2	0	0
1_31.vs.Tonsil1_Group7_23	2	193650000	197850000	43	0.2675	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	19	43550000	58550000	143	-0.213697902	2	0	0
1_31.vs.Tonsil1_Group7_23	2	150000	11850000	116	-0.014856897	2	0	0
1_31.vs.Tonsil1_Group7_23	3	19650000	29350000	94	0.008	2	0	0
1_31.vs.Tonsil1_Group7_23	2	112850000	127050000	133	-0.082161654	2	0	0
1_31.vs.Tonsil1_Group7_23	9	10550000	31150000	201	-0.3536	1	-1	-1
1_31.vs.Tonsil1_Group7_23	9	134550000	136250000	15	-0.478533333	1	-1	-1
1_31.vs.Tonsil1_Group7_23	10	56250000	57350000	12	0.4085	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	17	69650000	83150000	131	0.078754962	2	0	0
1_31.vs.Tonsil1_Group7_23	12	31550000	32150000	7	0.5609	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	10	120050000	133650000	133	-0.083462406	2	0	0
1_31.vs.Tonsil1_Group7_23	7	50550000	69350000	117	-0.04861453	2	0	0
1_31.vs.Tonsil1_Group7_23	18	35750000	80250000	434	0.02930023	2	0	0
1_31.vs.Tonsil1_Group7_23	4	69250000	71050000	17	0.2731	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	43650000	53650000	100	0.0507	2	0	0
1_31.vs.Tonsil1_Group7_23	4	162050000	165850000	38	0.357410526	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	7	70250000	159250000	850	0.039515765	2	0	0
1_31.vs.Tonsil1_Group7_23	4	38750000	40850000	21	0.3098	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	136450000	142950000	66	0.0493	2	0	0
1_31.vs.Tonsil1_Group7_23	12	150000	31450000	307	0.080785016	2	0	0
1_31.vs.Tonsil1_Group7_23	9	136350000	138050000	17	-0.133305882	2	0	0
1_31.vs.Tonsil1_Group7_23	10	14550000	15350000	9	0.3106	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	5	150000	50350000	445	-0.107498652	2	0	0
1_31.vs.Tonsil1_Group7_23	14	22650000	49750000	266	0.044085714	2	0	0
1_31.vs.Tonsil1_Group7_23	15	91050000	99150000	81	-0.023432099	2	0	0
1_31.vs.Tonsil1_Group7_23	3	124550000	187850000	617	0.550917504	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	12650000	42050000	286	0.044848252	2	0	0
1_31.vs.Tonsil1_Group7_23	17	40650000	63550000	219	0.114539726	2	0	0
1_31.vs.Tonsil1_Group7_23	2	65750000	110150000	358	0.029923184	2	0	0
1_31.vs.Tonsil1_Group7_23	10	27450000	56150000	229	0.028880786	2	0	0
1_31.vs.Tonsil1_Group7_23	4	150950000	152250000	14	0.1238	2	0	0
1_31.vs.Tonsil1_Group7_23	2	230950000	242050000	107	-0.047281308	2	0	0
1_31.vs.Tonsil1_Group7_23	7	18250000	18950000	8	0.4183	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	1	3550000	23250000	188	0.036301596	2	0	0
1_31.vs.Tonsil1_Group7_23	21	10450000	46550000	313	0.032203834	2	0	0
1_31.vs.Tonsil1_Group7_23	5	159350000	181250000	211	-0.168921801	2	0	0
1_31.vs.Tonsil1_Group7_23	15	99250000	99850000	7	0.365	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	9	100350000	108750000	82	-0.3288	1	-1	-1
1_31.vs.Tonsil1_Group7_23	13	41750000	114150000	705	-0.828339858	1	-1	-1
1_31.vs.Tonsil1_Group7_23	10	80050000	87750000	75	0.008138667	2	0	0
1_31.vs.Tonsil1_Group7_23	16	35150000	90050000	426	0.009087793	2	0	0
1_31.vs.Tonsil1_Group7_23	20	41750000	43450000	18	-0.3779	1	-1	-1
1_31.vs.Tonsil1_Group7_23	8	9250000	58650000	441	0.021276417	2	0	0
1_31.vs.Tonsil1_Group7_23	19	14750000	15950000	13	-0.3477	1	-1	-1
1_31.vs.Tonsil1_Group7_23	4	150000	38650000	371	-0.062893531	2	0	0
1_31.vs.Tonsil1_Group7_23	19	350000	13150000	124	-0.13205	2	0	0
1_31.vs.Tonsil1_Group7_23	8	95350000	96650000	13	0.1934	2	0	0
1_31.vs.Tonsil1_Group7_23	11	66250000	72750000	62	0.053264516	2	0	0
1_31.vs.Tonsil1_Group7_23	22	23250000	48150000	248	0.050103226	2	0	0
1_31.vs.Tonsil1_Group7_23	15	89850000	90950000	12	0.2927	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	20	150000	41650000	373	0.030842627	2	0	0
1_31.vs.Tonsil1_Group7_23	2	225250000	230150000	49	-0.013579592	2	0	0
1_31.vs.Tonsil1_Group7_23	20	60150000	61950000	18	-0.4824	1	-1	-1
1_31.vs.Tonsil1_Group7_23	11	73250000	94850000	202	0.024695545	2	0	0
1_31.vs.Tonsil1_Group7_23	4	40950000	69150000	246	-0.036586179	2	0	0
1_31.vs.Tonsil1_Group7_23	5	57050000	157050000	965	-0.059605389	2	0	0
1_31.vs.Tonsil1_Group7_23	1	198850000	248850000	478	0.021469038	2	0	0
1_31.vs.Tonsil1_Group7_23	2	62350000	64550000	22	0.1274	2	0	0
1_31.vs.Tonsil1_Group7_23	4	171150000	176150000	51	0.448786275	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	10	61450000	79950000	176	-0.709081818	1	-1	-1
1_31.vs.Tonsil1_Group7_23	11	35450000	47750000	120	-0.0126375	2	0	0
1_31.vs.Tonsil1_Group7_23	11	250000	34750000	339	-0.000875811	2	0	0
1_31.vs.Tonsil1_Group7_23	15	70850000	89750000	184	0.0206875	2	0	0
1_31.vs.Tonsil1_Group7_23	15	55750000	58550000	29	0.047941379	2	0	0
1_31.vs.Tonsil1_Group7_23	4	165950000	171050000	51	0.1543	2	0	0
1_31.vs.Tonsil1_Group7_23	9	108850000	115250000	63	-0.2135	2	0	0
1_31.vs.Tonsil1_Group7_23	2	55450000	60250000	48	0.1199	2	0	0
1_31.vs.Tonsil1_Group7_23	7	19050000	50050000	303	0.074553465	2	0	0
1_31.vs.Tonsil1_Group7_23	11	96450000	116850000	202	-0.851065347	1	-1	-1
1_31.vs.Tonsil1_Group7_23	3	32650000	70850000	377	0.020192308	2	0	0
1_31.vs.Tonsil1_Group7_23	10	26450000	27350000	10	0.3843	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	4	101050000	146450000	445	0.296873483	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	12	102250000	120050000	175	-0.010601143	2	0	0
1_31.vs.Tonsil1_Group7_23	6	850000	24350000	229	0.026979039	2	0	0
1_31.vs.Tonsil1_Group7_23	4	152350000	153550000	12	0.5719	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	3	70950000	71550000	7	0.3884	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	3	71650000	111950000	363	0.014236088	2	0	0
1_31.vs.Tonsil1_Group7_23	19	34150000	42550000	83	-0.2052	2	0	0
1_31.vs.Tonsil1_Group7_23	9	115350000	120450000	50	-0.4178	1	-1	-1
1_31.vs.Tonsil1_Group7_23	11	48250000	64650000	111	0.08437027	2	0	0
1_31.vs.Tonsil1_Group7_23	13	30350000	30750000	5	0.0181	2	0	0
1_31.vs.Tonsil1_Group7_23	1	178950000	198150000	192	0.053921875	2	0	0
1_31.vs.Tonsil1_Group7_23	1	23350000	29150000	57	0.2925	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	10	87850000	89350000	16	0.5121	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	6	33750000	156450000	1163	0.067926225	2	0	0
1_31.vs.Tonsil1_Group7_23	12	32250000	52950000	167	0.10550479	2	0	0
1_31.vs.Tonsil1_Group7_23	11	47850000	48150000	4	0.5284	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	4	153650000	161950000	81	0.2115	2	0	0
1_31.vs.Tonsil1_Group7_23	1	29250000	31750000	24	-0.110375	2	0	0
1_31.vs.Tonsil1_Group7_23	4	146550000	149350000	29	0.1584	2	0	0
1_31.vs.Tonsil1_Group7_23	20	43550000	60050000	163	-0.1334	2	0	0
1_31.vs.Tonsil1_Group7_23	2	145850000	193550000	461	0.0405	2	0	0
1_31.vs.Tonsil1_Group7_23	2	42150000	43550000	15	0.2655	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	10	11050000	12350000	14	0.3836	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	16	10750000	12250000	15	0.3354	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	5	50950000	56250000	52	-0.0435	2	0	0
1_31.vs.Tonsil1_Group7_23	8	103150000	137750000	339	0.6346	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	13	30850000	39550000	87	-0.396	1	-1	-1
1_31.vs.Tonsil1_Group7_23	17	67850000	69550000	18	0.2866	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	4	86150000	100950000	148	0.111249324	2	0	0
1_31.vs.Tonsil1_Group7_23	18	3750000	32550000	220	-0.013880909	2	0	0
1_31.vs.Tonsil1_Group7_23	14	68850000	105850000	360	0.016666667	2	0	0
1_31.vs.Tonsil1_Group7_23	1	40950000	47450000	62	0.067945161	2	0	0
1_31.vs.Tonsil1_Group7_23	6	156550000	159150000	26	0.3083	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	230250000	230850000	7	0.4535	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	9	88850000	100250000	112	-0.223397321	2	0	0
1_31.vs.Tonsil1_Group7_23	1	48350000	178250000	1001	0.071260739	2	0	0
1_31.vs.Tonsil1_Group7_23	14	68150000	68750000	7	0.5475	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	4	149550000	150850000	13	0.353	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	19	13750000	14650000	10	-0.0198	2	0	0
1_31.vs.Tonsil1_Group7_23	17	65250000	67750000	26	0.0343	2	0	0
1_31.vs.Tonsil1_Group7_23	10	97550000	118950000	210	0.088765714	2	0	0
1_31.vs.Tonsil1_Group7_23	3	29450000	32550000	32	0.2949	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	60350000	62250000	19	0.2932	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	3	16350000	19550000	32	0.3116	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	1	39750000	40850000	12	0.2643	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	5	56350000	56950000	7	0.2726	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	14	51350000	68050000	164	0.08450122	2	0	0
1_31.vs.Tonsil1_Group7_23	9	126450000	134450000	80	-0.175615	2	0	0
1_31.vs.Tonsil1_Group7_23	12	57950000	101550000	424	0.040191274	2	0	0
1_31.vs.Tonsil1_Group7_23	8	61250000	94750000	328	0.1384	2	0	0
1_31.vs.Tonsil1_Group7_23	9	126050000	126350000	4	-0.4929	1	-1	-1
1_31.vs.Tonsil1_Group7_23	4	83550000	85250000	18	0.0491	2	0	0
1_31.vs.Tonsil1_Group7_23	8	137850000	138950000	12	0.2511	2	0	0
1_31.vs.Tonsil1_Group7_23	4	71150000	78550000	70	-0.0068	2	0	0
1_31.vs.Tonsil1_Group7_23	1	198250000	198750000	6	0.5957	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	10	93050000	95650000	27	0.1	2	0	0
1_31.vs.Tonsil1_Group7_23	10	22350000	22750000	5	0.3288	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	5	157350000	159250000	19	0.2821	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	197950000	224350000	258	-0.010503488	2	0	0
1_31.vs.Tonsil1_Group7_23	12	120150000	123750000	37	0.2631	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	3	115150000	121550000	63	0.0234	2	0	0
1_31.vs.Tonsil1_Group7_23	1	178350000	178850000	6	0.3949	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	2	143050000	145750000	27	0.3253	3	1	0.584962501
1_31.vs.Tonsil1_Group7_23	3	112050000	115050000	31	0.2997	3	1	0.584962501
